iter	Passed	Remaining
0	0	410
1	0	473
2	1	483
3	1	490
4	2	482
5	2	472
6	3	452
7	3	445
8	3	414
9	4	414
10	4	414
11	5	413
12	5	412
13	5	404
14	6	397
15	6	391
16	6	390
17	7	391
18	7	390
19	7	390
20	8	391
21	8	390
22	8	379
23	9	380
24	9	383
25	10	382
26	10	385
27	10	380
28	11	375
29	11	377
30	12	377
31	12	378
32	12	379
33	13	380
34	13	378
35	14	378
36	14	378
37	15	379
38	15	384
39	16	391
40	16	391
41	17	391
42	17	391
43	18	391
44	18	392
45	18	391
46	19	391
47	19	391
48	20	391
49	20	390
50	20	388
51	21	388
52	21	388
53	22	387
54	22	388
55	23	389
56	23	390
57	23	387
58	24	387
59	24	386
60	24	383
61	25	383
62	25	384
63	26	382
64	26	382
65	26	382
66	27	381
67	27	381
68	28	378
69	28	378
70	28	376
71	29	379
72	29	380
73	30	380
74	30	379
75	31	379
76	31	377
77	31	377
78	32	376
79	32	376
80	33	376
81	33	375
82	34	376
83	34	375
84	34	373
85	35	374
86	35	374
87	36	374
88	36	373
89	36	373
90	37	373
91	37	372
92	38	372
93	38	372
94	39	372
95	39	371
96	39	371
97	40	371
98	40	370
99	41	370
100	41	370
101	42	369
102	42	369
103	42	369
104	43	369
105	43	369
106	44	368
107	44	368
108	44	367
109	45	367
110	45	366
111	46	366
112	46	366
113	47	366
114	47	365
115	47	365
116	48	365
117	48	365
118	49	364
119	49	364
120	50	364
121	50	364
122	51	363
123	51	363
124	51	363
125	52	363
126	52	362
127	53	362
128	53	362
129	54	361
130	54	361
131	54	361
132	55	361
133	55	360
134	56	360
135	56	360
136	57	360
137	57	360
138	58	360
139	58	359
140	58	359
141	59	359
142	59	358
143	60	358
144	60	358
145	61	358
146	61	357
147	62	357
148	62	356
149	62	356
150	63	356
151	63	355
152	64	354
153	64	354
154	65	354
155	65	354
156	65	353
157	66	353
158	66	352
159	67	352
160	67	351
161	67	351
162	68	350
163	68	350
164	69	349
165	69	349
166	69	349
167	70	349
168	71	349
169	71	349
170	71	348
171	72	348
172	72	348
173	73	347
174	73	346
175	74	346
176	74	346
177	74	345
178	75	345
179	75	344
180	76	343
181	76	343
182	76	343
183	77	342
184	77	342
185	78	341
186	78	341
187	78	340
188	79	340
189	79	339
190	80	339
191	80	339
192	81	339
193	81	339
194	82	338
195	82	338
196	82	338
197	83	338
198	83	337
199	84	339
200	85	338
201	85	338
202	86	338
203	86	338
204	87	340
205	88	341
206	89	341
207	90	343
208	90	343
209	91	343
210	91	343
211	92	343
212	93	343
213	93	343
214	94	343
215	94	343
216	95	343
217	95	342
218	96	342
219	96	343
220	97	343
221	98	344
222	99	345
223	99	346
224	100	346
225	101	346
226	101	346
227	102	346
228	102	346
229	103	345
230	103	345
231	104	344
232	104	344
233	105	344
234	105	344
235	106	343
236	106	343
237	107	343
238	107	342
239	108	342
240	108	341
241	108	341
242	109	340
243	109	340
244	110	339
245	110	339
246	111	338
247	111	338
248	112	338
249	112	338
250	113	337
251	113	337
252	114	337
253	114	336
254	115	336
255	115	335
256	116	335
257	116	335
258	117	335
259	117	334
260	118	334
261	118	333
262	119	333
263	119	333
264	120	333
265	120	332
266	121	332
267	121	331
268	121	331
269	122	331
270	122	330
271	123	330
272	124	330
273	124	330
274	126	334
275	127	334
276	127	333
277	128	333
278	128	332
279	129	332
280	129	332
281	130	332
282	130	331
283	131	331
284	132	331
285	132	330
286	133	330
287	133	330
288	134	330
289	134	330
290	135	329
291	135	329
292	136	329
293	136	328
294	137	328
295	138	329
296	139	329
297	140	329
298	140	330
299	141	329
300	141	329
301	142	329
302	143	329
303	143	329
304	144	328
305	144	328
306	145	328
307	145	327
308	146	326
309	146	326
310	146	325
311	147	325
312	148	324
313	148	324
314	149	324
315	149	324
316	150	324
317	151	324
318	151	324
319	152	323
320	152	323
321	153	323
322	154	323
323	155	323
324	155	323
325	156	323
326	156	322
327	157	322
328	157	322
329	158	321
330	159	321
331	159	321
332	160	320
333	160	320
334	161	320
335	161	319
336	162	319
337	162	318
338	163	318
339	163	317
340	164	317
341	164	317
342	165	316
343	165	316
344	166	315
345	167	316
346	168	316
347	168	315
348	169	315
349	169	314
350	170	314
351	170	313
352	170	313
353	171	312
354	171	312
355	172	311
356	172	311
357	173	310
358	173	310
359	174	309
360	174	309
361	175	308
362	175	308
363	176	307
364	176	307
365	179	310
366	180	310
367	181	311
368	182	312
369	183	312
370	184	312
371	184	311
372	185	311
373	185	310
374	185	309
375	186	309
376	186	308
377	187	308
378	187	307
379	188	306
380	188	306
381	189	305
382	189	305
383	189	304
384	190	304
385	190	303
386	191	303
387	191	302
388	192	302
389	192	301
390	193	300
391	193	300
392	194	299
393	194	299
394	195	299
395	196	299
396	197	299
397	197	298
398	197	298
399	198	297
400	198	296
401	199	296
402	199	295
403	200	295
404	200	294
405	200	293
406	201	293
407	201	292
408	202	292
409	202	291
410	203	291
411	203	290
412	204	290
413	204	289
414	205	289
415	205	288
416	205	287
417	206	287
418	206	286
419	207	286
420	207	285
421	208	284
422	208	284
423	208	283
424	209	283
425	210	283
426	210	282
427	211	282
428	211	281
429	212	281
430	212	280
431	212	279
432	213	279
433	213	278
434	214	278
435	214	277
436	215	277
437	215	276
438	215	275
439	216	275
440	216	274
441	216	273
442	217	273
443	217	272
444	218	272
445	218	271
446	219	271
447	219	270
448	220	270
449	220	269
450	220	268
451	221	268
452	221	267
453	222	267
454	222	266
455	223	266
456	223	265
457	224	265
458	224	264
459	224	264
460	225	263
461	225	262
462	226	262
463	226	261
464	227	261
465	227	260
466	228	260
467	228	259
468	228	259
469	229	258
470	229	258
471	230	257
472	230	256
473	231	256
474	231	255
475	231	255
476	232	254
477	232	254
478	233	253
479	233	253
480	234	252
481	234	252
482	235	251
483	235	251
484	235	250
485	236	249
486	236	249
487	237	248
488	237	248
489	238	247
490	238	247
491	238	246
492	239	246
493	239	245
494	240	245
495	240	244
496	241	244
497	241	243
498	241	242
499	242	242
500	242	241
501	243	241
502	243	240
503	244	240
504	244	239
505	244	239
506	245	238
507	245	238
508	246	237
509	246	237
510	247	236
511	247	236
512	248	235
513	248	235
514	249	234
515	249	233
516	249	233
517	250	232
518	250	232
519	251	232
520	251	231
521	252	231
522	252	230
523	253	230
524	253	229
525	254	228
526	254	228
527	254	227
528	255	227
529	255	226
530	256	226
531	256	225
532	257	225
533	257	224
534	258	224
535	258	223
536	259	223
537	259	222
538	259	222
539	260	221
540	260	221
541	261	220
542	261	220
